d packets: 182/0
request: node: 1, message: 183, time: 1599860928, Vbat 355 v, Tx dur 64 ms, T: -586 C, RH: 2092 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 183/0
request: node: 1, message: 224, time: 1599861136, Vbat 354 v, Tx dur 64 ms, T: -924 C, RH: 2321 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 224/0
request: node: 1, message: 225, time: 1599861141, Vbat 354 v, Tx dur 64 ms, T: -931 C, RH: 2327 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 225/0
request: node: 1, message: 227, time: 1599861151, Vbat 354 v, Tx dur 64 ms, T: -945 C, RH: 2338 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 226/1
request: node: 1, message: 228, time: 1599861156, Vbat 354 v, Tx dur 64 ms, T: -951 C, RH: 2341 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 227/1
request: node: 1, message: 229, time: 1599861161, Vbat 354 v, Tx dur 64 ms, T: -955 C, RH: 2347 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 228/1
request: node: 1, message: 230, time: 1599861167, Vbat 354 v, Tx dur 64 ms, T: -964 C, RH: 2361 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 229/1
request: node: 1, message: 231, time: 1599861172, Vbat 354 v, Tx dur 65 ms, T: -968 C, RH: 2362 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 230/1
request: node: 1, message: 232, time: 1599861177, Vbat 354 v, Tx dur 64 ms, T: -976 C, RH: 2367 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 231/1
request: node: 1, message: 233, time: 1599861182, Vbat 354 v, Tx dur 64 ms, T: -981 C, RH: 2373 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 232/1
request: node: 1, message: 234, time: 1599861187, Vbat 354 v, Tx dur 64 ms, T: -985 C, RH: 2380 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 233/1
request: node: 1, message: 235, time: 1599861192, Vbat 354 v, Tx dur 64 ms, T: -995 C, RH: 2388 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 234/1
request: node: 1, message: 236, time: 1599861197, Vbat 354 v, Tx dur 64 ms, T: -997 C, RH: 2390 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 235/1
request: node: 1, message: 237, time: 1599861202, Vbat 354 v, Tx dur 64 ms, T: -1005 C, RH: 2398 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 236/1
request: node: 1, message: 238, time: 1599861207, Vbat 354 v, Tx dur 65 ms, T: -1010 C, RH: 2400 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 237/1
request: node: 1, message: 239, time: 1599861212, Vbat 354 v, Tx dur 64 ms, T: -1017 C, RH: 2408 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 238/1
request: node: 1, message: 240, time: 1599861217, Vbat 354 v, Tx dur 64 ms, T: -1021 C, RH: 2415 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 239/1
request: node: 1, message: 241, time: 1599861222, Vbat 354 v, Tx dur 64 ms, T: -1026 C, RH: 2421 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 240/1
request: node: 1, message: 242, time: 1599861227, Vbat 354 v, Tx dur 65 ms, T: -1034 C, RH: 2426 %, status: 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 241/1
request: node: 1, message: 243, time: 1599861232, Vbat 354 v, Tx dur 64 ms, T: -1041 C, RH: 2433 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 242/1
request: node: 1, message: 244, time: 1599861237, Vbat 354 v, Tx dur 64 ms, T: -1045 C, RH: 2439 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 243/1
request: node: 1, message: 245, time: 1599861243, Vbat 354 v, Tx dur 64 ms, T: -1051 C, RH: 2440 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 244/1
request: node: 1, message: 246, time: 1599861248, Vbat 354 v, Tx dur 64 ms, T: -1056 C, RH: 2450 %, status: 0x00, RSSI -103 dBm, SNR 8 dB, good/bad packets: 245/1
request: node: 1, message: 247, time: 1599861253, Vbat 354 v, Tx dur 64 ms, T: -1058 C, RH: 2455 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 246/1
request: node: 1, message: 248, time: 1599861258, Vbat 354 v, Tx dur 64 ms, T: -1065 C, RH: 2463 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 247/1
request: node: 1, message: 249, time: 1599861263, Vbat 354 v, Tx dur 64 ms, T: -1071 C, RH: 2467 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 248/1
request: node: 1, message: 250, time: 1599861268, Vbat 354 v, Tx dur 65 ms, T: -1078 C, RH: 2472 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 249/1
request: node: 1, message: 251, time: 1599861273, Vbat 354 v, Tx dur 65 ms, T: -1082 C, RH: 2477 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 250/1
request: node: 1, message: 252, time: 1599861278, Vbat 354 v, Tx dur 64 ms, T: -1088 C, RH: 2482 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 251/1
request: node: 1, message: 253, time: 1599861283, Vbat 354 v, Tx dur 64 ms, T: -1091 C, RH: 2490 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 252/1
request: node: 1, message: 254, time: 1599861288, Vbat 354 v, Tx dur 64 ms, T: -1096 C, RH: 2505 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 253/1
request: node: 1, message: 255, time: 1599861293, Vbat 354 v, Tx dur 64 ms, T: -1099 C, RH: 2513 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 254/1
request: node: 1, message: 256, time: 1599861298, Vbat 354 v, Tx dur 64 ms, T: -1105 C, RH: 2519 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 255/1
request: node: 1, message: 257, time: 1599861303, Vbat 354 v, Tx dur 64 ms, T: -1109 C, RH: 2534 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 256/1
request: node: 1, message: 258, time: 1599861308, Vbat 354 v, Tx dur 65 ms, T: -1112 C, RH: 2544 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 257/1
request: node: 1, message: 259, time: 1599861313, Vbat 354 v, Tx dur 64 ms, T: -1116 C, RH: 2556 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 258/1
request: node: 1, message: 260, time: 1599861319, Vbat 354 v, Tx dur 64 ms, T: -1119 C, RH: 2571 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 259/1
request: node: 1, message: 261, time: 1599861324, Vbat 354 v, Tx dur 64 ms, T: -1123 C, RH: 2583 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 260/1
request: node: 1, message: 262, time: 1599861329, Vbat 354 v, Tx dur 64 ms, T: -1124 C, RH: 2592 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 261/1
request: node: 1, message: 263, time: 1599861334, Vbat 354 v, Tx dur 64 ms, T: -1129 C, RH: 2600 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 262/1
request: node: 1, message: 264, time: 1599861339, Vbat 354 v, Tx dur 64 ms, T: -1133 C, RH: 2615 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 263/1
request: node: 1, message: 265, time: 1599861344, Vbat 354 v, Tx dur 64 ms, T: -1134 C, RH: 2627 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 264/1
request: node: 1, message: 266, time: 1599861349, Vbat 354 v, Tx dur 64 ms, T: -1139 C, RH: 2639 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 265/1
request: node: 1, message: 267, time: 1599861354, Vbat 354 v, Tx dur 64 ms, T: -1143 C, RH: 2655 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 266/1
request: node: 1, message: 268, time: 1599861359, Vbat 354 v, Tx dur 64 ms, T: -1144 C, RH: 2665 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 267/1
request: node: 1, message: 269, time: 1599861364, Vbat 354 v, Tx dur 64 ms, T: -1146 C, RH: 2679 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 268/1
request: node: 1, message: 270, time: 1599861369, Vbat 354 v, Tx dur 64 ms, T: -1148 C, RH: 2698 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 269/1
request: node: 1, message: 271, time: 1599861374, Vbat 354 v, Tx dur 64 ms, T: -1152 C, RH: 2711 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 270/1
request: node: 1, message: 272, time: 1599861379, Vbat 354 v, Tx dur 64 ms, T: -1154 C, RH: 2727 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 271/1
request: node: 1, message: 273, time: 1599861384, Vbat 354 v, Tx dur 64 ms, T: -1155 C, RH: 2743 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 272/1
request: node: 1, message: 274, time: 1599861390, Vbat 354 v, Tx dur 64 ms, T: -1160 C, RH: 2758 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 273/1
request: node: 1, message: 275, time: 1599861395, Vbat 354 v, Tx dur 65 ms, T: -1162 C, RH: 2773 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 274/1
request: node: 1, message: 276, time: 1599861400, Vbat 354 v, Tx dur 64 ms, T: -1162 C, RH: 2791 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 275/1
request: node: 1, message: 277, time: 1599861405, Vbat 353 v, Tx dur 64 ms, T: -1165 C, RH: 2807 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 276/1
request: node: 1, message: 278, time: 1599861410, Vbat 354 v, Tx dur 64 ms, T: -1167 C, RH: 2825 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 277/1
request: node: 1, message: 279, time: 1599861415, Vbat 354 v, Tx dur 64 ms, T: -1172 C, RH: 2843 %, status: 0x00, RSSI -106 dBm, SNR 9 dB, good/bad packets: 278/1
request: node: 1, message: 280, time: 1599861420, Vbat 354 v, Tx dur 65 ms, T: -1172 C, RH: 2858 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 279/1
request: node: 1, message: 281, time: 1599861425, Vbat 354 v, Tx dur 64 ms, T: -1174 C, RH: 2870 %, status: 0x00, RSSI -106 dBm, SNR 9 dB, good/bad packets: 280/1
request: node: 1, message: 282, time: 1599861430, Vbat 354 v, Tx dur 64 ms, T: -1177 C, RH: 2888 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 281/1
request: node: 1, message: 283, time: 1599861435, Vbat 354 v, Tx dur 64 ms, T: -1178 C, RH: 2902 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 282/1
request: node: 1, message: 284, time: 1599861440, Vbat 354 v, Tx dur 64 ms, T: -1179 C, RH: 2921 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 283/1
request: node: 1, message: 285, time: 1599861445, Vbat 354 v, Tx dur 64 ms, T: -1183 C, RH: 2934 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 284/1
request: node: 1, message: 286, time: 1599861450, Vbat 354 v, Tx dur 64 ms, T: -1183 C, RH: 2950 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 285/1
request: node: 1, message: 287, time: 1599861455, Vbat 354 v, Tx dur 64 ms, T: -1188 C, RH: 2969 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 286/1
request: node: 1, message: 288, time: 1599861460, Vbat 354 v, Tx dur 64 ms, T: -1189 C, RH: 2980 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 287/1
request: node: 1, message: 289, time: 1599861466, Vbat 353 v, Tx dur 64 ms, T: -1191 C, RH: 2996 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 288/1
request: node: 1, message: 290, time: 1599861471, Vbat 354 v, Tx dur 64 ms, T: -1192 C, RH: 3009 %, status: 0x00, RSSI -108 dBm, SNR 8 dB, good/bad packets: 289/1
request: node: 1, message: 291, time: 1599861476, Vbat 353 v, Tx dur 64 ms, T: -1194 C, RH: 3027 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 290/1
request: node: 1, message: 292, time: 1599861481, Vbat 353 v, Tx dur 64 ms, T: -1197 C, RH: 3041 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 291/1
request: node: 1, message: 293, time: 1599861486, Vbat 354 v, Tx dur 64 ms, T: -1199 C, RH: 3052 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 292/1
request: node: 1, message: 294, time: 1599861491, Vbat 353 v, Tx dur 64 ms, T: -1199 C, RH: 3070 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 293/1
request: node: 1, message: 295, time: 1599861496, Vbat 354 v, Tx dur 64 ms, T: -1203 C, RH: 3083 %, status: 0x00, RSSI -106 dBm, SNR 9 dB, good/bad packets: 294/1
request: node: 1, message: 296, time: 1599861501, Vbat 354 v, Tx dur 64 ms, T: -1203 C, RH: 3095 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 295/1
request: node: 1, message: 297, time: 1599861506, Vbat 354 v, Tx dur 65 ms, T: -1205 C, RH: 3115 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 296/1
request: node: 1, message: 298, time: 1599861511, Vbat 353 v, Tx dur 64 ms, T: -1206 C, RH: 3127 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 297/1
request: node: 1, message: 299, time: 1599861516, Vbat 354 v, Tx dur 64 ms, T: -1209 C, RH: 3136 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 298/1
request: node: 1, message: 300, time: 1599861521, Vbat 353 v, Tx dur 64 ms, T: -1210 C, RH: 3150 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 299/1
request: node: 1, message: 301, time: 1599861526, Vbat 353 v, Tx dur 65 ms, T: -1210 C, RH: 3158 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 300/1
request: node: 1, message: 302, time: 1599861531, Vbat 353 v, Tx dur 64 ms, T: -1213 C, RH: 3170 %, status: 0x00, RSSI -108 dBm, SNR 8 dB, good/bad packets: 301/1
request: node: 1, message: 303, time: 1599861537, Vbat 353 v, Tx dur 64 ms, T: -1216 C, RH: 3183 %, status: 0x00, RSSI -105 dBm, SNR 8 dB, good/bad packets: 302/1
request: node: 1, message: 304, time: 1599861542, Vbat 353 v, Tx dur 64 ms, T: -1218 C, RH: 3195 %, status: 0x00, RSSI -105 dBm, SNR 9 dB, good/bad packets: 303/1
request: node: 1, message: 305, time: 1599861547, Vbat 353 v, Tx dur 64 ms, T: -1219 C, RH: 3207 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 304/1
request: node: 1, message: 306, time: 1599861552, Vbat 353 v, Tx dur 64 ms, T: -1220 C, RH: 3221 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 305/1
request: node: 1, message: 307, time: 1599861557, Vbat 353 v, Tx dur 64 ms, T: -1223 C, RH: 3231 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 306/1
request: node: 1, message: 308, time: 1599861562, Vbat 353 v, Tx dur 64 ms, T: -1222 C, RH: 3243 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 307/1
request: node: 1, message: 309, time: 1599861567, Vbat 353 v, Tx dur 64 ms, T: -1225 C, RH: 3254 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 308/1
request: node: 1, message: 310, time: 1599861572, Vbat 353 v, Tx dur 65 ms, T: -1226 C, RH: 3271 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 309/1
request: node: 1, message: 311, time: 1599861577, Vbat 353 v, Tx dur 64 ms, T: -1226 C, RH: 3284 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 310/1
request: node: 1, message: 312, time: 1599861582, Vbat 353 v, Tx dur 65 ms, T: -1228 C, RH: 3295 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 311/1
request: node: 1, message: 313, time: 1599861587, Vbat 353 v, Tx dur 64 ms, T: -1232 C, RH: 3311 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 312/1
request: node: 1, message: 314, time: 1599861592, Vbat 353 v, Tx dur 64 ms, T: -1232 C, RH: 3318 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 313/1
request: node: 1, message: 315, time: 1599861597, Vbat 353 v, Tx dur 64 ms, T: -1234 C, RH: 3327 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 314/1
request: node: 1, message: 316, time: 1599861602, Vbat 353 v, Tx dur 64 ms, T: -1234 C, RH: 3346 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 315/1
request: node: 1, message: 317, time: 1599861608, Vbat 353 v, Tx dur 64 ms, T: -1237 C, RH: 3359 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 316/1
request: node: 1, message: 318, time: 1599861613, Vbat 353 v, Tx dur 64 ms, T: -1239 C, RH: 3366 %, status: 0x00, RSSI -108 dBm, SNR 8 dB, good/bad packets: 317/1
request: node: 1, message: 319, time: 1599861618, Vbat 353 v, Tx dur 64 ms, T: -1239 C, RH: 3383 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 318/1
request: node: 1, message: 320, time: 1599861623, Vbat 353 v, Tx dur 64 ms, T: -1241 C, RH: 3391 %, status: 0x00, RSSI -108 dBm, SNR 8 dB, good/bad packets: 319/1
request: node: 1, message: 321, time: 1599861628, Vbat 354 v, Tx dur 64 ms, T: -1243 C, RH: 3408 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 320/1
request: node: 1, message: 322, time: 1599861633, Vbat 353 v, Tx dur 64 ms, T: -1243 C, RH: 3421 %, status: 0x00, RSSI -106 dBm, SNR 8 dB, good/bad packets: 321/1
request: node: 1, message: 323, time: 1599861638, Vbat 353 v, Tx dur 64 ms, T: -1246 C, RH: 3434 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 322/1
request: node: 1, message: 324, time: 1599861643, Vbat 353 v, Tx dur 64 ms, T: -1247 C, RH: 3447 %, status: 0x00, RSSI -107 dBm, SNR 8 dB, good/bad packets: 323/1
request: node: 1, message: 325, time: 1599861648, Vbat 353 v, Tx dur 65 ms, T: -1247 C, RH: 3458 %, status: 0x00, RSSI -108 dBm, SNR 7 dB, good/bad packets: 324/1
request: node: 1, message: 326, time: 1599861653, Vbat 353 v, Tx dur 64 ms, T: -1249 C, RH: 3466 %, status: 0x00, RSSI -108 dBm, SNR 8 dB, good/bad packets: 325/1
request: node: 1, message: 327, time: 1599861658, Vbat 353 v, Tx dur 64 ms, T: -1250 C, RH: 3479 %, status: 0x00, RSSI -108 dBm, SNR 8 dB, good/bad packets: 326/1
request: node: 1, message: 328, time: 1599861663, Vbat 353 v, Tx dur 64 ms, T: -1253 C, RH: 3489 %, status: 0x00, RSSI -107 dBm, SNR 7 dB, good/bad packets: 327/1
