# Start Log
Hello, node 1, message 1, msg time 1596321169, tx time 0 ms, battery 330 v, temp 1513 C, humidity 8723 %
Hello, node 1, message 52, msg time 1596321478, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8773 %
Hello, node 1, message 53, msg time 1596321484, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8775 %
Hello, node 1, message 54, msg time 1596321490, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8776 %
Hello, node 1, message 55, msg time 1596321496, tx time 403 ms, battery 330 v, temp 1496 C, humidity 8777 %
Hello, node 1, message 56, msg time 1596321502, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8775 %
Hello, node 1, message 57, msg time 1596321508, tx time 403 ms, battery 330 v, temp 1499 C, humidity 8777 %
Hello, node 1, message 58, msg time 1596321514, tx time 403 ms, battery 331 v, temp 1495 C, humidity 8778 %
Hello, node 1, message 59, msg time 1596321520, tx time 403 ms, battery 330 v, temp 1495 C, humidity 8782 %
Hello, node 1, message 60, msg time 1596321526, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8782 %
Hello, node 1, message 61, msg time 1596321532, tx time 403 ms, battery 331 v, temp 1495 C, humidity 8780 %
Hello, node 1, message 62, msg time 1596321538, tx time 404 ms, battery 330 v, temp 1498 C, humidity 8778 %
Hello, node 1, message 63, msg time 1596321544, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8783 %
Hello, node 1, message 64, msg time 1596321550, tx time 404 ms, battery 330 v, temp 1495 C, humidity 8784 %
Hello, node 1, message 65, msg time 1596321556, tx time 403 ms, battery 330 v, temp 1496 C, humidity 8784 %
Hello, node 1, message 66, msg time 1596321562, tx time 404 ms, battery 330 v, temp 1495 C, humidity 8784 %
Hello, node 1, message 67, msg time 1596321568, tx time 403 ms, battery 330 v, temp 1493 C, humidity 8785 %
Hello, node 1, message 68, msg time 1596321574, tx time 404 ms, battery 331 v, temp 1493 C, humidity 8784 %
Hello, node 1, message 69, msg time 1596321580, tx time 403 ms, battery 330 v, temp 1495 C, humidity 8788 %
Hello, node 1, message 70, msg time 1596321586, tx time 404 ms, battery 331 v, temp 1493 C, humidity 8788 %
Hello, node 1, message 71, msg time 1596321592, tx time 403 ms, battery 330 v, temp 1493 C, humidity 8787 %
Hello, node 1, message 72, msg time 1596321598, tx time 404 ms, battery 330 v, temp 1495 C, humidity 8788 %
Hello, node 1, message 73, msg time 1596321605, tx time 403 ms, battery 331 v, temp 1493 C, humidity 8791 %
Hello, node 1, message 74, msg time 1596321611, tx time 404 ms, battery 330 v, temp 1495 C, humidity 8789 %
Hello, node 1, message 75, msg time 1596321617, tx time 403 ms, battery 330 v, temp 1493 C, humidity 8790 %
Hello, node 1, message 76, msg time 1596321623, tx time 404 ms, battery 331 v, temp 1493 C, humidity 8794 %
Hello, node 1, message 77, msg time 1596321629, tx time 403 ms, battery 331 v, temp 1492 C, humidity 8794 %
Hello, node 1, message 78, msg time 1596321635, tx time 404 ms, battery 330 v, temp 1493 C, humidity 8792 %
Hello, node 1, message 79, msg time 1596321641, tx time 403 ms, battery 330 v, temp 1492 C, humidity 8799 %
Hello, node 1, message 80, msg time 1596321647, tx time 403 ms, battery 330 v, temp 1490 C, humidity 8798 %
Hello, node 1, message 81, msg time 1596321653, tx time 403 ms, battery 331 v, temp 1490 C, humidity 8797 %
Hello, node 1, message 82, msg time 1596321659, tx time 403 ms, battery 331 v, temp 1492 C, humidity 8798 %
Hello, node 1, message 83, msg time 1596321665, tx time 403 ms, battery 330 v, temp 1490 C, humidity 8799 %
Hello, node 1, message 84, msg time 1596321671, tx time 403 ms, battery 331 v, temp 1490 C, humidity 8800 %
Hello, node 1, message 85, msg time 1596321677, tx time 403 ms, battery 330 v, temp 1490 C, humidity 8802 %
Hello, node 1, message 86, msg time 1596321683, tx time 403 ms, battery 330 v, temp 1489 C, humidity 8805 %
Hello, node 1, message 87, msg time 1596321689, tx time 403 ms, battery 330 v, temp 1489 C, humidity 8807 %
Hello, node 1, message 88, msg time 1596321695, tx time 403 ms, battery 331 v, temp 1489 C, humidity 8805 %
Hello, node 1, message 89, msg time 1596321701, tx time 403 ms, battery 331 v, temp 1489 C, humidity 8806 %
Hello, node 1, message 90, msg time 1596321707, tx time 403 ms, battery 331 v, temp 1488 C, humidity 8809 %
Hello, node 1, message 91, msg time 1596321713, tx time 403 ms, battery 331 v, temp 1489 C, humidity 8808 %
Hello, node 1, message 92, msg time 1596321719, tx time 403 ms, battery 331 v, temp 1490 C, humidity 8811 %
Hello, node 1, message 93, msg time 1596321726, tx time 403 ms, battery 330 v, temp 1488 C, humidity 8809 %
Hello, node 1, message 94, msg time 1596321732, tx time 403 ms, battery 331 v, temp 1486 C, humidity 8812 %
Hello, node 1, message 95, msg time 1596321738, tx time 403 ms, battery 331 v, temp 1486 C, humidity 8809 %
Hello, node 1, message 96, msg time 1596321744, tx time 403 ms, battery 331 v, temp 1485 C, humidity 8815 %
Hello, node 1, message 97, msg time 1596321750, tx time 403 ms, battery 331 v, temp 1488 C, humidity 8816 %
Hello, node 1, message 98, msg time 1596321756, tx time 403 ms, battery 330 v, temp 1488 C, humidity 8816 %
Hello, node 1, message 99, msg time 1596321762, tx time 403 ms, battery 331 v, temp 1485 C, humidity 8818 %
Hello, node 1, message 100, msg time 1596321768, tx time 403 ms, battery 331 v, temp 1483 C, humidity 8816 %
Hello, node 1, message 101, msg time 1596321774, tx time 403 ms, battery 330 v, temp 1485 C, humidity 8819 %
Hello, node 1, message 102, msg time 1596321780, tx time 403 ms, battery 331 v, temp 1485 C, humidity 8821 %
Hello, node 1, message 103, msg time 1596321786, tx time 403 ms, battery 331 v, temp 1485 C, humidity 8824 %
Hello, node 1, message 104, msg time 1596321792, tx time 403 ms, battery 330 v, temp 1485 C, humidity 8823 %
Hello, node 1, message 105, msg time 1596321798, tx time 403 ms, battery 331 v, temp 1488 C, humidity 8824 %
Hello, node 1, message 106, msg time 1596321804, tx time 403 ms, battery 330 v, temp 1485 C, humidity 8826 %
Hello, node 1, message 107, msg time 1596321810, tx time 403 ms, battery 331 v, temp 1483 C, humidity 8827 %
Hello, node 1, message 108, msg time 1596321816, tx time 403 ms, battery 330 v, temp 1483 C, humidity 8827 %
Hello, node 1, message 109, msg time 1596321822, tx time 403 ms, battery 331 v, temp 1485 C, humidity 8830 %
Hello, node 1, message 110, msg time 1596321828, tx time 403 ms, battery 331 v, temp 1482 C, humidity 8831 %
Hello, node 1, message 111, msg time 1596321834, tx time 705 ms, battery 331 v, temp 1483 C, humidity 8830 %
Hello, node 1, message 112, msg time 1596321840, tx time 403 ms, battery 330 v, temp 1483 C, humidity 8835 %
Hello, node 1, message 113, msg time 1596321846, tx time 403 ms, battery 331 v, temp 1482 C, humidity 8836 %
Hello, node 1, message 114, msg time 1596321853, tx time 403 ms, battery 331 v, temp 1479 C, humidity 8834 %
Hello, node 1, message 115, msg time 1596321859, tx time 403 ms, battery 331 v, temp 1482 C, humidity 8836 %
Hello, node 1, message 116, msg time 1596321865, tx time 403 ms, battery 331 v, temp 1480 C, humidity 8838 %
Hello, node 1, message 117, msg time 1596321871, tx time 403 ms, battery 331 v, temp 1480 C, humidity 8838 %
Hello, node 1, message 118, msg time 1596321877, tx time 808 ms, battery 331 v, temp 1482 C, humidity 8842 %
Hello, node 1, message 119, msg time 1596321883, tx time 403 ms, battery 331 v, temp 1480 C, humidity 8840 %
Hello, node 1, message 120, msg time 1596321889, tx time 1005 ms, battery 331 v, temp 1480 C, humidity 8843 %
Hello, node 1, message 121, msg time 1596321895, tx time 403 ms, battery 331 v, temp 1482 C, humidity 8843 %
Hello, node 1, message 122, msg time 1596321901, tx time 403 ms, battery 331 v, temp 1480 C, humidity 8842 %
Hello, node 1, message 123, msg time 1596321907, tx time 403 ms, battery 331 v, temp 1479 C, humidity 8845 %
Hello, node 1, message 124, msg time 1596321913, tx time 805 ms, battery 331 v, temp 1479 C, humidity 8845 %
Hello, node 1, message 125, msg time 1596321919, tx time 403 ms, battery 331 v, temp 1478 C, humidity 8845 %
Hello, node 1, message 126, msg time 1596321925, tx time 403 ms, battery 331 v, temp 1478 C, humidity 8848 %
Hello, node 1, message 127, msg time 1596321931, tx time 403 ms, battery 331 v, temp 1476 C, humidity 8847 %
Hello, node 1, message 128, msg time 1596321937, tx time 403 ms, battery 331 v, temp 1476 C, humidity 8847 %
Hello, node 1, message 129, msg time 1596321943, tx time 1106 ms, battery 330 v, temp 1482 C, humidity 8850 %
Hello, node 1, message 130, msg time 1596321949, tx time 403 ms, battery 331 v, temp 1476 C, humidity 8854 %
Hello, node 1, message 131, msg time 1596321955, tx time 404 ms, battery 331 v, temp 1478 C, humidity 8852 %
Hello, node 1, message 132, msg time 1596321961, tx time 1205 ms, battery 331 v, temp 1476 C, humidity 8853 %
Hello, node 1, message 133, msg time 1596321967, tx time 806 ms, battery 331 v, temp 1476 C, humidity 8857 %
Hello, node 1, message 134, msg time 1596321974, tx time 403 ms, battery 331 v, temp 1475 C, humidity 8854 %
Hello, node 1, message 135, msg time 1596321980, tx time 1306 ms, battery 331 v, temp 1476 C, humidity 8859 %
Hello, node 1, message 136, msg time 1596321986, tx time 403 ms, battery 331 v, temp 1478 C, humidity 8854 %
Hello, node 1, message 137, msg time 1596321992, tx time 403 ms, battery 331 v, temp 1473 C, humidity 8859 %
Hello, node 1, message 138, msg time 1596321998, tx time 403 ms, battery 331 v, temp 1475 C, humidity 8861 %
Hello, node 1, message 139, msg time 1596322004, tx time 403 ms, battery 331 v, temp 1473 C, humidity 8861 %
Hello, node 1, message 140, msg time 1596322010, tx time 403 ms, battery 331 v, temp 1473 C, humidity 8862 %
Hello, node 1, message 141, msg time 1596322016, tx time 403 ms, battery 331 v, temp 1476 C, humidity 8863 %
Hello, node 1, message 142, msg time 1596322022, tx time 605 ms, battery 330 v, temp 1475 C, humidity 8865 %
Hello, node 1, message 143, msg time 1596322028, tx time 505 ms, battery 331 v, temp 1473 C, humidity 8868 %
Hello, node 1, message 144, msg time 1596322034, tx time 1005 ms, battery 331 v, temp 1475 C, humidity 8866 %
Hello, node 1, message 145, msg time 1596322040, tx time 805 ms, battery 331 v, temp 1473 C, humidity 8866 %
Hello, node 1, message 146, msg time 1596322046, tx time 705 ms, battery 331 v, temp 1473 C, humidity 8870 %
Hello, node 1, message 147, msg time 1596322052, tx time 1707 ms, battery 331 v, temp 1472 C, humidity 8871 %
Hello, node 1, message 148, msg time 1596322058, tx time 1207 ms, battery 331 v, temp 1473 C, humidity 8870 %
Hello, node 1, message 149, msg time 1596322064, tx time 1607 ms, battery 331 v, temp 1473 C, humidity 8868 %
Hello, node 1, message 150, msg time 1596322070, tx time 1809 ms, battery 331 v, temp 1471 C, humidity 8872 %
Hello, node 1, message 151, msg time 1596322076, tx time 1507 ms, battery 331 v, temp 1473 C, humidity 8875 %
Hello, node 1, message 152, msg time 1596322082, tx time 1205 ms, battery 331 v, temp 1472 C, humidity 8874 %
Hello, node 1, message 153, msg time 1596322088, tx time 1507 ms, battery 331 v, temp 1471 C, humidity 8876 %
Hello, node 1, message 154, msg time 1596322094, tx time 1710 ms, battery 331 v, temp 1473 C, humidity 8878 %
Hello, node 1, message 155, msg time 1596322101, tx time 403 ms, battery 331 v, temp 1473 C, humidity 8878 %
Hello, node 1, message 156, msg time 1596322107, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8883 %
Hello, node 1, message 157, msg time 1596322113, tx time 403 ms, battery 331 v, temp 1473 C, humidity 8878 %
Hello, node 1, message 158, msg time 1596322119, tx time 404 ms, battery 331 v, temp 1472 C, humidity 8882 %
Hello, node 1, message 159, msg time 1596322125, tx time 403 ms, battery 331 v, temp 1473 C, humidity 8879 %
Hello, node 1, message 160, msg time 1596322131, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8880 %
Hello, node 1, message 161, msg time 1596322137, tx time 403 ms, battery 331 v, temp 1472 C, humidity 8883 %
Hello, node 1, message 162, msg time 1596322143, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8885 %
Hello, node 1, message 163, msg time 1596322149, tx time 403 ms, battery 330 v, temp 1471 C, humidity 8882 %
Hello, node 1, message 164, msg time 1596322155, tx time 404 ms, battery 331 v, temp 1472 C, humidity 8884 %
Hello, node 1, message 165, msg time 1596322161, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8887 %
Hello, node 1, message 166, msg time 1596322167, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8888 %
Hello, node 1, message 167, msg time 1596322173, tx time 403 ms, battery 331 v, temp 1472 C, humidity 8886 %
Hello, node 1, message 168, msg time 1596322179, tx time 404 ms, battery 331 v, temp 1469 C, humidity 8888 %
Hello, node 1, message 169, msg time 1596322185, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8889 %
Hello, node 1, message 170, msg time 1596322191, tx time 404 ms, battery 331 v, temp 1469 C, humidity 8888 %
Hello, node 1, message 171, msg time 1596322197, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8892 %
Hello, node 1, message 172, msg time 1596322203, tx time 404 ms, battery 331 v, temp 1472 C, humidity 8887 %
Hello, node 1, message 173, msg time 1596322209, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8889 %
Hello, node 1, message 174, msg time 1596322215, tx time 404 ms, battery 330 v, temp 1469 C, humidity 8893 %
Hello, node 1, message 175, msg time 1596322222, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8891 %
Hello, node 1, message 176, msg time 1596322228, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8893 %
Hello, node 1, message 177, msg time 1596322234, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8895 %
Hello, node 1, message 178, msg time 1596322240, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8894 %
Hello, node 1, message 179, msg time 1596322246, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8895 %
Hello, node 1, message 180, msg time 1596322252, tx time 404 ms, battery 331 v, temp 1469 C, humidity 8896 %
Hello, node 1, message 181, msg time 1596322258, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8894 %
Hello, node 1, message 182, msg time 1596322264, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8893 %
Hello, node 1, message 183, msg time 1596322270, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8898 %
Hello, node 1, message 184, msg time 1596322276, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8898 %
Hello, node 1, message 185, msg time 1596322282, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8896 %
Hello, node 1, message 186, msg time 1596322288, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8897 %
Hello, node 1, message 187, msg time 1596322294, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8897 %
Hello, node 1, message 188, msg time 1596322300, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8899 %
Hello, node 1, message 189, msg time 1596322306, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8899 %
Hello, node 1, message 190, msg time 1596322312, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8901 %
Hello, node 1, message 191, msg time 1596322318, tx time 404 ms, battery 331 v, temp 1472 C, humidity 8899 %
Hello, node 1, message 192, msg time 1596322324, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8897 %
Hello, node 1, message 193, msg time 1596322330, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8902 %
Hello, node 1, message 194, msg time 1596322336, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8899 %
Hello, node 1, message 195, msg time 1596322342, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8896 %
Hello, node 1, message 196, msg time 1596322349, tx time 404 ms, battery 331 v, temp 1469 C, humidity 8899 %
Hello, node 1, message 197, msg time 1596322355, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8899 %
Hello, node 1, message 198, msg time 1596322361, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8901 %
Hello, node 1, message 199, msg time 1596322367, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8898 %
Hello, node 1, message 200, msg time 1596322373, tx time 403 ms, battery 331 v, temp 1472 C, humidity 8901 %
Hello, node 1, message 201, msg time 1596322379, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8899 %
Hello, node 1, message 202, msg time 1596322385, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8899 %
Hello, node 1, message 203, msg time 1596322391, tx time 403 ms, battery 331 v, temp 1472 C, humidity 8902 %
Hello, node 1, message 204, msg time 1596322397, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8898 %
Hello, node 1, message 205, msg time 1596322403, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8901 %
Hello, node 1, message 206, msg time 1596322409, tx time 404 ms, battery 331 v, temp 1472 C, humidity 8901 %
Hello, node 1, message 207, msg time 1596322415, tx time 403 ms, battery 331 v, temp 1472 C, humidity 8901 %
Hello, node 1, message 208, msg time 1596322421, tx time 404 ms, battery 331 v, temp 1469 C, humidity 8905 %
Hello, node 1, message 209, msg time 1596322427, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8904 %
Hello, node 1, message 210, msg time 1596322433, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8904 %
Hello, node 1, message 211, msg time 1596322439, tx time 403 ms, battery 331 v, temp 1472 C, humidity 8907 %
Hello, node 1, message 212, msg time 1596322445, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8908 %
Hello, node 1, message 213, msg time 1596322451, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8907 %
Hello, node 1, message 214, msg time 1596322457, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8904 %
Hello, node 1, message 215, msg time 1596322463, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8911 %
Hello, node 1, message 216, msg time 1596322470, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8909 %
Hello, node 1, message 217, msg time 1596322476, tx time 404 ms, battery 331 v, temp 1471 C, humidity 8910 %
Hello, node 1, message 218, msg time 1596322482, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8911 %
Hello, node 1, message 219, msg time 1596322488, tx time 404 ms, battery 331 v, temp 1469 C, humidity 8910 %
Hello, node 1, message 220, msg time 1596322494, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8912 %
Hello, node 1, message 221, msg time 1596322500, tx time 404 ms, battery 331 v, temp 1465 C, humidity 8910 %
Hello, node 1, message 222, msg time 1596322506, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8914 %
Hello, node 1, message 223, msg time 1596322512, tx time 403 ms, battery 331 v, temp 1471 C, humidity 8912 %
Hello, node 1, message 224, msg time 1596322518, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8916 %
Hello, node 1, message 225, msg time 1596322524, tx time 403 ms, battery 331 v, temp 1469 C, humidity 8916 %
Hello, node 1, message 226, msg time 1596322530, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8914 %
Hello, node 1, message 227, msg time 1596322536, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8915 %
Hello, node 1, message 228, msg time 1596322542, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8917 %
Hello, node 1, message 229, msg time 1596322548, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8919 %
Hello, node 1, message 230, msg time 1596322554, tx time 404 ms, battery 331 v, temp 1469 C, humidity 8921 %
Hello, node 1, message 231, msg time 1596322560, tx time 403 ms, battery 331 v, temp 1466 C, humidity 8919 %
Hello, node 1, message 232, msg time 1596322566, tx time 404 ms, battery 331 v, temp 1465 C, humidity 8924 %
Hello, node 1, message 233, msg time 1596322572, tx time 403 ms, battery 331 v, temp 1468 C, humidity 8924 %
Hello, node 1, message 234, msg time 1596322578, tx time 404 ms, battery 331 v, temp 1466 C, humidity 8923 %
Hello, node 1, message 235, msg time 1596322584, tx time 403 ms, battery 331 v, temp 1465 C, humidity 8925 %
Hello, node 1, message 236, msg time 1596322591, tx time 404 ms, battery 331 v, temp 1465 C, humidity 8920 %
Hello, node 1, message 237, msg time 1596322597, tx time 403 ms, battery 331 v, temp 1466 C, humidity 8928 %
Hello, node 1, message 238, msg time 1596322603, tx time 404 ms, battery 331 v, temp 1468 C, humidity 8927 %
Hello, node 1, message 239, msg time 1596322609, tx time 403 ms, battery 331 v, temp 1464 C, humidity 8930 %
Hello, node 1, message 240, msg time 1596322615, tx time 403 ms, battery 331 v, temp 1465 C, humidity 8928 %
Hello, node 1, message 241, msg time 1596322621, tx time 403 ms, battery 331 v, temp 1465 C, humidity 8930 %
Hello, node 1, message 242, msg time 1596322627, tx time 403 ms, battery 331 v, temp 1466 C, humidity 8929 %
Hello, node 1, message 243, msg time 1596322633, tx time 403 ms, battery 331 v, temp 1465 C, humidity 8931 %
Hello, node 1, message 244, msg time 1596322639, tx time 403 ms, battery 331 v, temp 1464 C, humidity 8929 %
Hello, node 1, message 245, msg time 1596322645, tx time 403 ms, battery 331 v, temp 1462 C, humidity 8933 %
Hello, node 1, message 246, msg time 1596322651, tx time 403 ms, battery 331 v, temp 1465 C, humidity 8939 %
Hello, node 1, message 247, msg time 1596322657, tx time 403 ms, battery 331 v, temp 1464 C, humidity 8935 %
Hello, node 1, message 248, msg time 1596322663, tx time 403 ms, battery 331 v, temp 1464 C, humidity 8938 %
Hello, node 1, message 249, msg time 1596322669, tx time 404 ms, battery 331 v, temp 1461 C, humidity 8938 %
Hello, node 1, message 250, msg time 1596322675, tx time 403 ms, battery 331 v, temp 1462 C, humidity 8935 %
Hello, node 1, message 251, msg time 1596322681, tx time 404 ms, battery 331 v, temp 1461 C, humidity 8941 %
Hello, node 1, message 252, msg time 1596322687, tx time 403 ms, battery 331 v, temp 1462 C, humidity 8939 %
Hello, node 1, message 253, msg time 1596322693, tx time 404 ms, battery 331 v, temp 1462 C, humidity 8943 %
Hello, node 1, message 254, msg time 1596322699, tx time 403 ms, battery 331 v, temp 1462 C, humidity 8944 %
Hello, node 1, message 255, msg time 1596322705, tx time 404 ms, battery 331 v, temp 1462 C, humidity 8945 %
Hello, node 1, message 256, msg time 1596322711, tx time 403 ms, battery 331 v, temp 1459 C, humidity 8939 %
Hello, node 1, message 257, msg time 1596322718, tx time 403 ms, battery 331 v, temp 1459 C, humidity 8943 %
